brand;circle;region;area;branch;micro_cluster;outlet_code;outlet_name;dse_code;dse_category;saldo_mtd;saldo_lmtd;lowstock_flag_mtd;lowstock_flag_lmtd;sellin_mtd;sellin_lmtd;ga_mtd;ga_lmtd;flag_100mb_usg_mtd;flag_500mb_usg_mtd;tag_n_go_hit;tag_n_go_cashback;tag_n_go_desa_hit;tag_n_go_desa_cashback;tag_n_go_voucher_desa_hit;tag_n_go_voucher_cashback;seru_hit;seru_cashback;cuanbooster_hit;cuanbooster_cashback;cvm_hit;cvm_cashback;lombok_hit;lombok_cashback;biometric_mtd;biometric_lmtd;flag_500mb_usg_lmtd;tag_n_go_3id_manual_hit;tag_n_go_3id_manual_cashback;tag_n_go_biometrik_hit;tag_n_go_biometrik_cashback;unique_participant_program;participant program;;;MC;ID;Nama
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17735610;Gili cell;;NOT PJP DSE;68618;68975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;MC-MANGGARAI BARAT;DSE1193;Florianus Ganggong
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17662002;El printing;;NOT PJP DSE;34000;34000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;MC-MANGGARAI BARAT;2613050251;Efridus Bagur
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17702529;AGENT_COMMUNITY_FLOBAR_MAN1MANGGARAI_JUFRI;;NOT PJP DSE;21471;21473,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;MC-MANGGARAI BARAT;DSE42309020;Yoakim Darma Putra Utama
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17733321;Akhyar Cell;;NOT PJP DSE;257794,5;17220,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9340;0;0;0;0;0;0;0;0;0;4;4;;;MC-MANGGARAI;2613050567;Florentina EP Wawas
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17609686;KIOS KENZ;;NOT PJP DSE;9376;11271,15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;MC-MANGGARAI;DSE1193-2;Paskalis Yonas
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17666289;Sely cell;2613050567;PJP DSE;281760;440806,02;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;MC-MANGGARAI;DSE1193-3;Kresensia Fatima
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17585285;Alex cell;2613050567;PJP DSE;695993;730076,97;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;MC-MANGGARAI;DSE1193-4;Yulianus Andri Longguk
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17562038;Garuda cell;2613050567;PJP DSE;213235;217584,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;MC-MANGGARAI;DSE1977;Agustina Alfrena Tambuk
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17644012;Kios lempe;2613050567;PJP DSE;115116,5;117111,65;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;MC-MANGGARAI;DSE1977-2;Ponsianus G. Wedok
IM3;JAVA;BALI NUSRA;BALI NUSRA;FLORES BARAT;MC-MANGGARAI;17666708;Kios Ardiles;2613050567;PJP DSE;9633;96510;1;0;0;0;2;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;5;0;0;0;0;0;0;;;MC-MANGGARAI;DSE1193-5;Dionisius Tatut
